id,text,corrected,word,tag
0,Цели и задачи исследования Объект – проблемы адаптации зарубежные управленческих методов Целью данной работы является анализ адаптации зарубежных управленческих методов в современных российских компаниях.,Цели и задачи исследования. Объект – проблемы адаптации зарубежных управленческих методов. Целью данной работы является анализ адаптации зарубежных управленческих методов в современных российских компаниях.,зарубежные,"infl, cause, typo"
1,"Есть множество фактов,когда случай координально менял ход исторических событий.","Есть множество фактов, когда случай кардинально менял ход исторических событий.",координально,"deriv, paron"
2,При многочисленных особенностях российской культуры интенсивной концентрации различных национальностей и их особенностей должна возникать потребность к целенаправленной адаптации данных методик к окружающим условиям.,При многочисленных особенностях российской культуры и высокой концентрации различных национальностей и их особенностей должна возникать потребность в целенаправленной адаптации данных методик к окружающим условиям.,культуры,conn
3,"Благодаря чему появилась возможность выделить несколько закономерных особенностей современного языка СМИ: Первая особенность – интертекстуальность, то есть пересечения нескольких разных материалов.","Благодаря чему появилась возможность выделить несколько закономерных особенностей современного языка СМИ: Первая особенность – интертекстуальность, то есть пересечение нескольких разных материалов.",пересечения,"infl, lex, phrase"
4,Часть 1. Предпосылки для изучение коммуникативных стратегий Лингвистика последних десятилетий демонстрирует неуклонное расширение своего влияния.,Часть 1. Предпосылки для изучения коммуникативных стратегий Лингвистика последних десятилетий демонстрирует неуклонное расширение своего влияния.,изучение,"infl, cause, typo"
5,"Снег уже почти растаял, и на деревьях стали появляться первые почки, солнце пыталось нагреть своим теплом, птички уже начали воспевать приходящую весну.","Снег уже почти растаял, и на деревьях стали появляться первые почки, солнце пыталось согревать своим теплом, птички уже начали воспевать приходящую весну.",нагреть,"deriv, paron, lack"
6,"Заранее будет известно, какой навык будет тренировать конкретное задание Тем самым, эффект неожиданности и непредсказуемости возможный дальнейших проблем в работе будет исключен.","Заранее будет известно, какой навык будет тренировать конкретное задание. Тем самым, эффект неожиданности и непредсказуемости возможных дальнейших проблем в работе будет исключен.",возможный,"agr, cause, typo"
7,Автор задается вопрососом возможно ли было предсказать и предотвратить события первой мировой войны?,"Автор задается вопросом, возможно ли было предсказать и предотвратить события первой мировой войны?",вопрососом,"typo, cause"
8,"Существуют час пики в которые люди в будние дни начинают и заканчивают работать примерно одинаково, а в выходные едут на дачу.","Существуют часы пик в которые люди в будние дни начинают и заканчивают работать примерно одинаково, а в выходные едут на дачу.",час,infl
9,"Если вы эрудированный и можете в любом обществе поддержать беседу и показывать себя в лучшем свете, то это не только произведет положительное впечатление, но и возможно повлияет на вашу карьеру.","Если вы эрудированный и можете в любом обществе поддержать беседу и показать себя в лучшем свете, то это не только произведет положительное впечатление, но и, возможно, повлияет на вашу карьеру.",показывать,"deriv, asp"
10,"Данные/Материал В ходе работы над проектом был использован теоретический материал следующего содержание Трактат « Государь » Никколо Макиавелли, а также « Рассуждения о первой декаде Тита Ливия ».","Данные/Материал В ходе работы над проектом был использован теоретический материал следующего содержания: трактат «Государь» Никколо Макиавелли, а также «Рассуждения о первой декаде Тита Ливия».",содержание,"agr, cause, typo"
11,"Шарль Бодлер сказал Женщина - это приглашение к счастью Я понимаю это высказывание так: женщина создаст уют в семье, рядом с особенной женщиной мужчина становится лучше и легче добивается своих целей, она даст правильное воспитание детям, будет содержать дом в чистоте и порядке, она всегда будет разной и не даст скучать мужчине.","Шарль Бодлер сказал: ""Женщина - это приглашение к счастью"". Я понимаю это высказывание так: женщина создаёт уют в семье, рядом с особенной женщиной мужчина становится лучше и легче добивается своих целей; она даст правильное воспитание детям, будет содержать дом в чистоте и порядке, она всегда будет разной и не даст скучать мужчине.",создаст,"infl, coord"
12,"Сделав столь длинное вступление об этой проблеме, я хочу перейти непосредственно к рассуждению о том, каково же все-таки ребенку, чьи родители развелись?","Сделав столь длинное вступление к этой проблеме, я хочу перейти непосредственно к рассуждению о том, каково же все-таки ребенку, чьи родители развелись?",об,"gov, lex, phrase"
13,Но все равно ответы большинство вопросов можно найти в истории.,Но все равно ответы на большинство вопросов можно найти в истории.,ответы,"gov, lack"
14,"Я не упускаю даже такой возможности, что он найдет общий язык с ним, но дружить он точно не сможет.","Я не исключаю даже такой возможности, что он найдет общий язык с ним, но дружить он точно не сможет.",упускаю,"deriv, lex, phrase"
15,"Не известно, как долго это продлится…Но, например, я не собираюсь с этим смириться и становиться таким же игроком и борцом за Деньги.","Неизвестно, как долго это продлится…Но, например, я не собираюсь с этим смиряться и становиться таким же игроком и борцом за Деньги.",смириться,asp
16,"Ведь политика- это проявление гражданской ответственности, независимое от половой принадлежности.","Ведь политика - это проявление гражданской ответственности, не зависящее от половой принадлежности.",независимое,"deriv, converb"
17,"Например, увидев по телевизору репортаж об очередном массовом беспорядке, мы не интересуемся конкретными участниками данного действа нас больше волнует сам факт происшествия массового беспорядка и его последствия.","Например, увидев по телевизору репортаж об очередном массовом беспорядке, мы не интересуемся конкретными участниками данного действа, нас больше волнует сам факт происхождения массового беспорядка и его последствия.",происшествия,"deriv, lex, word"
18,"И безусловно, он расширяет возможности каждого человек Самым весомым аргументом в пользу интернета, является, пожалуй, то, что он облегчает нашу повседневную жизнь.","И безусловно, он расширяет возможности каждого человека. Самым весомым аргументом в пользу интернета, является, пожалуй, то, что он облегчает нашу повседневную жизнь.",человек,"agr, cause, typo"
19,"Люди с лёгкостью могут находить себе друзей по интересам, делиться опытом, приобретать новые знание Всё вышесказанное создано для того, чтобы экономить наши время, силы и деньги.","Люди с лёгкостью могут находить себе друзей по интересам, делиться опытом, приобретать новые знания. Всё вышесказанное создано для того, чтобы экономить наши время, силы и деньги.",знание,"agr, cause, typo"
20,На тот момент он являлся культурным центром Америки и как раз в то время происходила наибольший рост численности городов.,"На тот момент он являлся культурным центром Америки, и как раз в то время происходил наибольший рост численности городов.",происходила,"agr, aux"
21,"Длительное уединение как таковое приводит к более острому ощущения одиночества, дискомфорта, актуализируется общение с другими людьми.","Длительное уединение как таковое приводит к более острому ощущению одиночества, дискомфорта, актуализируется общение с другими людьми.",ощущения,"agr, cause, typo"
